                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4414,                 3.8934,                 1.4041,                0.05968,                0.34209,                0.08902,                0.06773,                0.99685,                 3.3316,                 1.0787,               0.067295,             3.2738e-05,             3.2738e-05
                      2,                 1.3794,                  2.664,                 1.2928,                0.28161,                0.38173,                0.26556,                0.20664,                 0.8409,                 2.5903,                 1.0029,               0.033994,             6.5853e-05,             6.5853e-05
                      3,                 1.2996,                 2.0505,                 1.2544,                0.46129,                0.54714,                0.46706,                0.35391,                 0.8276,                 2.1697,                  1.004,             0.00069399,             9.8749e-05,             9.8749e-05
                      4,                 1.2803,                 1.7823,                 1.2351,                0.49388,                0.52793,                0.57422,                0.45278,                0.76497,                 1.9135,                0.96327,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                 1.1872,                 1.4831,                 1.2158,                 0.6045,                0.61268,                0.62805,                0.47647,                0.76231,                  1.323,                0.96042,              9.901e-05,              9.901e-05,              9.901e-05
                      6,                 1.1764,                 1.3801,                 1.1841,                0.73213,                0.60154,                0.72107,                0.56636,                0.75926,                 1.2642,                0.95143,              9.868e-05,              9.868e-05,              9.868e-05
                      7,                 1.1023,                 1.1919,                 1.1651,                0.67667,                0.65482,                0.75939,                 0.5961,                0.69284,                0.90273,                0.91855,              9.835e-05,              9.835e-05,              9.835e-05
                      8,                 1.0974,                 1.1464,                 1.1595,                0.76682,                0.74065,                0.79402,                0.62277,                0.70162,                0.84189,                0.92484,              9.802e-05,              9.802e-05,              9.802e-05
                      9,                 1.0845,                  1.067,                 1.1334,                0.65214,                0.73351,                0.79199,                 0.6371,                0.68594,                0.83958,                0.91391,              9.769e-05,              9.769e-05,              9.769e-05
                     10,                 1.0498,                0.98839,                 1.1206,                0.76457,                0.75039,                0.80263,                0.65774,                0.67974,                0.76868,                0.90984,              9.736e-05,              9.736e-05,              9.736e-05
